0,빈곤과 청소년 10년의 기록,사회,강지나,15750,11,FALSE
1,축복을 비는 마음,문학,김혜진,16000,30,FALSE
2,늑대의 그림자 속에서,문학,알비다스 슐레피카스,15000,25,FALSE
3,재무제표 투자의 힘,경제,차영주,20000,18,FALSE
4,부르고뉴 와인,요리,백은주,32000,10,FALSE
5,세상을 뒤로하고,문학,루만 알람,16000,20,FALSE
6,강대국 지정학,사회,니컬러스 J. 스파이크먼,38000,32,FALSE
7,한권으로 읽는 삼국지 인물 열전,역사,최용현,33000,35,FALSE
8,세상에서 가장 쉬운 과학 수업 : 불확정성원리,과학,정완상,22000,30,FALSE
9,스토리의 유혹,문학,피터 브룩스,16000,10,FALSE
10,불안 우울 두려움의 스몰 트라우마,자기계발,제이미 카스티요,18000,5,FALSE
11,대체로 무해한 이슬람 이야기,역사,황의현,20000,12,FALSE
12,탈인간 선언,사회,김한민,16800,23,FALSE
13,오직 나를 위한 미술관,미술,정여울,19000,17,FALSE
14,2024 콘텐츠가 전부다,경제,노가영 외 3인,18000,34,FALSE
15,질주와 성좌,철학,장재현,28000,9,FALSE
16,발효 음식의 과학,과학,크리스틴 바움가르투버,17000,42,FALSE
17,아키텍트하다,과학,레이니르 더 흐라프,18000,28,FALSE
18,수학 지능,과학,주나이드 무빈,20000,3,FALSE
19,스웨덴어 쓰기,언어,박현숙,19000,33,FALSE
20,용 영어문법 용어사전 300,언어,Mike Hwang,4300,20,FALSE
21,하나를 바꾸면 모든 것이 바뀐다,자기계발,샤시 타루르 외 3인,17000,40,FALSE
